"withReplication","logRPKMstd","locus_tag"
"head-on",-0.0204512435258436,"U712_04010"
"head-on",0.796861143412558,"U712_04490"
"head-on",0.786344639372958,"U712_04840"
"head-on",-0.900017538339072,"U712_04970"
"head-on",-0.245674848378754,"U712_05400"
"head-on",0.211573366351215,"U712_05630"
"head-on",0.667862759811809,"U712_05690"
"head-on",-0.0220375116157834,"U712_05915"
"head-on",0.19072637508225,"U712_06355"
"head-on",0.693036539582964,"U712_06790"
"head-on",0.477234056892427,"U712_08235"
"head-on",-1.66071623504438,"U712_09265"
"head-on",-0.172642331392494,"U712_09300"
"head-on",-0.986701164399468,"U712_09645"
"head-on",-1.49805016932569,"U712_09655"
"head-on",-0.46067090247447,"U712_09670"
"head-on",-0.511543376502824,"U712_09775"
"head-on",0.610604904652926,"U712_10775"
"head-on",1.50337018894281,"U712_12165"
"head-on",0.151257929317521,"U712_13900"
"head-on",-1.55680884618184,"U712_14430"
"head-on",-1.32280262485521,"U712_14580"
"head-on",0.662166162533296,"U712_14885"
"head-on",0.67624050795369,"U712_14895"
"head-on",-0.211494508082088,"U712_18845"
"head-on",-0.800354521452097,"U712_18885"
"head-on",-0.345538607867754,"U712_19345"
"head-on",0.697172306992687,"U712_19475"
"head-on",-0.558956840165084,"U712_19615"
"head-on",-0.83277915323723,"U712_20195"
"head-on",-0.737874492176498,"U712_20200"
"head-on",0.007039008387002,"U712_20405"
"head-on",1.1857860989476,"U712_00005"
"codirectional",1.13500525322913,"U712_00010"
"codirectional",1.00050129057037,"U712_00015"
"codirectional",1.31654443177841,"U712_00020"
"codirectional",1.2076294003601,"U712_00025"
"codirectional",1.36947986073086,"U712_00030"
"head-on",0.548839382308125,"U712_00035"
"codirectional",1.45022561416042,"U712_00040"
"head-on",-0.7525293396822,"U712_00045"
"codirectional",1.82597169394241,"U712_00050"
"codirectional",1.61505431336206,"U712_00055"
"codirectional",1.22833402179999,"U712_00060"
"codirectional",1.1689319565002,"U712_00070"
"head-on",0.993870483261638,"U712_00075"
"head-on",-0.360326102430654,"U712_00085"
"head-on",-0.0375045040437918,"U712_00090"
"codirectional",0.309493691413118,"U712_00095"
"codirectional",1.41361736907589,"U712_00105"
"codirectional",1.05066427203186,"U712_00110"
"codirectional",1.1875097688053,"U712_00115"
"codirectional",0.196579976649557,"U712_00120"
"codirectional",-0.305367203963218,"U712_00125"
"codirectional",0.481208770417037,"U712_00130"
"codirectional",0.491421764039752,"U712_00135"
"codirectional",0.693697939489216,"U712_00140"
"codirectional",0.738141379276612,"U712_00145"
"codirectional",1.10215488459014,"U712_00150"
"codirectional",0.921031162369745,"U712_00155"
"codirectional",0.965001986573343,"U712_00160"
"codirectional",1.11891951816157,"U712_00165"
"codirectional",1.05237134306883,"U712_00170"
"codirectional",0.622337483529281,"U712_00175"
"codirectional",0.682514173584946,"U712_00180"
"codirectional",0.603751915204014,"U712_00185"
"head-on",2.02054786096909,"U712_00190"
"codirectional",1.06607918900246,"U712_00195"
"codirectional",0.461201378095431,"U712_00200"
"codirectional",1.16701683128668,"U712_00205"
"codirectional",0.918711662544368,"U712_00210"
"codirectional",0.916820763720442,"U712_00215"
"codirectional",-0.513752128759464,"U712_00220"
"codirectional",1.14767025759631,"U712_00225"
"codirectional",-0.578600088047212,"U712_00230"
"codirectional",0.944230048019407,"U712_00235"
"codirectional",1.2873461832363,"U712_00240"
"codirectional",1.44201421177093,"U712_00245"
"codirectional",0.650617650561947,"U712_00250"
"head-on",-1.42014615409713,"U712_00255"
"codirectional",1.59047865041573,"U712_00260"
"codirectional",1.58519754976673,"U712_00265"
"codirectional",1.81494644339386,"U712_00270"
"codirectional",1.03898810996127,"U712_00275"
"codirectional",1.10109657224216,"U712_00280"
"codirectional",0.919997526586281,"U712_00285"
"codirectional",0.961923264379339,"U712_00290"
"codirectional",0.3397819739839,"U712_00295"
"codirectional",0.675090846934936,"U712_00300"
"codirectional",0.815405075107543,"U712_00305"
"codirectional",0.819836747698127,"U712_00310"
"codirectional",0.781232832647894,"U712_00315"
"codirectional",1.26725308286421,"U712_00320"
"codirectional",1.84782489637678,"U712_00325"
"codirectional",-0.0158880504894205,"U712_00330"
"codirectional",0.0895646342264542,"U712_00335"
"codirectional",-0.210783205161552,"U712_00340"
"codirectional",1.27232369997762,"U712_00345"
"codirectional",1.59890449572716,"U712_00350"
"codirectional",1.94918097597018,"U712_00355"
"codirectional",0.889918409252651,"U712_00360"
"codirectional",1.00228432455303,"U712_00365"
"codirectional",0.553379221983776,"U712_00370"
"codirectional",0.973118768968657,"U712_00375"
"codirectional",0.385966415440346,"U712_00380"
"codirectional",0.796730399179228,"U712_00385"
"codirectional",0.630674101177616,"U712_00390"
"codirectional",0.715503618538555,"U712_00395"
"codirectional",0.729881636727763,"U712_00400"
"codirectional",0.951036967763534,"U712_00405"
"codirectional",1.23295926818033,"U712_00410"
"codirectional",1.3662288006988,"U712_00415"
"codirectional",1.44970531124516,"U712_00420"
"codirectional",0.643452815889337,"U712_00425"
"codirectional",0.687876964896493,"U712_00430"
"codirectional",0.676171624382337,"U712_00435"
"codirectional",0.78776782310152,"U712_00440"
"codirectional",0.508998571889627,"U712_00445"
"codirectional",0.531257557651813,"U712_00450"
"codirectional",0.292198666606125,"U712_00465"
"codirectional",1.45491212757751,"U712_00470"
"codirectional",1.08842742305304,"U712_00475"
"codirectional",0.918570564364588,"U712_00480"
"codirectional",0.613417149041985,"U712_00485"
"codirectional",0.668771883388423,"U712_00490"
"codirectional",0.625394805654162,"U712_00495"
"codirectional",0.649309758159518,"U712_00500"
"codirectional",0.648775609022358,"U712_00505"
"codirectional",0.958016150183311,"U712_00510"
"codirectional",1.46290868196265,"U712_00515"
"codirectional",1.53375152542432,"U712_00520"
"codirectional",1.58386465410606,"U712_00525"
"codirectional",2.93507079576017,"U712_00530"
"codirectional",2.71558510132368,"U712_00535"
"codirectional",2.95922690604068,"U712_00540"
"codirectional",2.91211951758287,"U712_00545"
"codirectional",1.40856793579756,"U712_00550"
"codirectional",2.04434599063955,"U712_00555"
"codirectional",2.15036396269025,"U712_00560"
"codirectional",2.64512818093081,"U712_00565"
"codirectional",2.96886251362287,"U712_00570"
"codirectional",2.89579182406982,"U712_00575"
"codirectional",2.85066387227101,"U712_00580"
"codirectional",2.97091208043695,"U712_00585"
"codirectional",0.363034980926339,"U712_00590"
"codirectional",2.78814345671323,"U712_00595"
"codirectional",2.80487266744799,"U712_00600"
"codirectional",2.73024906274428,"U712_00605"
"codirectional",2.77333986795141,"U712_00610"
"codirectional",2.79870931725462,"U712_00615"
"codirectional",2.80711457193641,"U712_00620"
"codirectional",2.66997064716346,"U712_00630"
"codirectional",2.60870009681815,"U712_00635"
"codirectional",2.77806089128809,"U712_00640"
"codirectional",2.80662612665459,"U712_00645"
"codirectional",2.83438763179102,"U712_00650"
"codirectional",2.67271314049305,"U712_00655"
"codirectional",2.74833174557179,"U712_00660"
"codirectional",2.7437392987512,"U712_00665"
"codirectional",2.69201875424375,"U712_00670"
"codirectional",2.80350572520897,"U712_00675"
"codirectional",2.59613346274379,"U712_00680"
"codirectional",2.68323864590071,"U712_00685"
"codirectional",2.75653607056817,"U712_00690"
"codirectional",2.65461291707937,"U712_00700"
"codirectional",2.66534553452561,"U712_00705"
"codirectional",2.83759321411465,"U712_00710"
"codirectional",2.82034920546401,"U712_00715"
"codirectional",2.62377544384318,"U712_00720"
"codirectional",2.57216485333284,"U712_00725"
"codirectional",2.60834456204817,"U712_00730"
"codirectional",2.74282421014191,"U712_00735"
"codirectional",2.56842968942075,"U712_00740"
"codirectional",0.881300063866675,"U712_00745"
"codirectional",0.921917924925099,"U712_00750"
"codirectional",0.967540330885183,"U712_00755"
"codirectional",1.66466628332546,"U712_00760"
"codirectional",2.7596131719162,"U712_00765"
"codirectional",2.52337611807097,"U712_00770"
"codirectional",0.570832180110284,"U712_00775"
"codirectional",-0.959434806229189,"U712_00780"
"codirectional",-0.854074845295214,"U712_00785"
"codirectional",1.12321260432771,"U712_00790"
"head-on",0.136933104201536,"U712_00795"
"codirectional",-0.0751901964629523,"U712_00800"
"head-on",-0.436784411457457,"U712_00805"
"head-on",-0.914740751916042,"U712_00810"
"codirectional",0.633154055252858,"U712_00815"
"codirectional",0.263486191496397,"U712_00820"
"head-on",0.017906087652335,"U712_00825"
"head-on",0.0322030802983635,"U712_00830"
"head-on",0.228266900650803,"U712_00835"
"head-on",-0.102014131100027,"U712_00840"
"head-on",-0.886086642425637,"U712_00845"
"head-on",-0.978923208253037,"U712_00850"
"head-on",-1.06170979054929,"U712_00855"
"head-on",-1.20721904589149,"U712_00860"
"head-on",-0.795837792379739,"U712_00865"
"head-on",-0.596569466333981,"U712_00870"
"head-on",-0.712624312600559,"U712_00875"
"head-on",-0.590925518642678,"U712_00880"
"codirectional",1.43494442014851,"U712_00885"
"codirectional",0.681988643586973,"U712_00895"
"codirectional",0.990379767809118,"U712_00900"
"codirectional",1.08583484452118,"U712_00905"
"codirectional",1.46034549183438,"U712_00910"
"codirectional",1.54702505887214,"U712_00915"
"head-on",-0.228204857527373,"U712_00920"
"codirectional",-1.12328549834566,"U712_00925"
"codirectional",-0.860561937907229,"U712_00930"
"codirectional",0.167623201376303,"U712_00935"
"codirectional",0.305061801222874,"U712_00940"
"codirectional",0.400873196135496,"U712_00945"
"codirectional",0.538522002000599,"U712_00950"
"codirectional",0.543559596738537,"U712_00955"
"head-on",0.190505477723311,"U712_00960"
"codirectional",0.753356004709642,"U712_00965"
"codirectional",-1.6099808311835,"U712_00970"
"codirectional",-0.418199968870801,"U712_00975"
"codirectional",-1.0201971358687,"U712_00980"
"codirectional",-0.93353680831316,"U712_00985"
"codirectional",-0.687391553904758,"U712_00990"
"codirectional",-0.924930439632688,"U712_00995"
"codirectional",-0.780959759369412,"U712_01000"
"codirectional",-0.683441843065278,"U712_01005"
"codirectional",-0.511082189802504,"U712_01010"
"codirectional",-0.410297255060939,"U712_01015"
"codirectional",-0.254134049398368,"U712_01020"
"codirectional",0.586550770096403,"U712_01025"
"head-on",-0.218300793800451,"U712_01030"
"head-on",-0.992910532916753,"U712_01035"
"codirectional",-0.700394458398974,"U712_01040"
"codirectional",0.338101622124184,"U712_01045"
"codirectional",-1.36822690322245,"U712_01050"
"codirectional",-1.42716758551967,"U712_01055"
"head-on",-1.40500544750081,"U712_01060"
"codirectional",-0.317354560145,"U712_01065"
"head-on",1.0410656480239,"U712_01070"
"codirectional",0.36761158520067,"U712_01075"
"head-on",1.59759332857536,"U712_01080"
"head-on",1.4944360572137,"U712_01085"
"codirectional",-0.77642391737209,"U712_01090"
"codirectional",-0.822514857212302,"U712_01095"
"codirectional",-0.527923365663565,"U712_01100"
"head-on",0.295007246351616,"U712_01105"
"head-on",0.332639625094378,"U712_01110"
"codirectional",0.0424769914362192,"U712_01115"
"head-on",-0.102796017999783,"U712_01120"
"head-on",-0.304552934907322,"U712_01125"
"head-on",-0.4757302807509,"U712_01130"
"codirectional",-0.67692506394386,"U712_01140"
"codirectional",-0.688228507805999,"U712_01145"
"codirectional",0.220404159243974,"U712_01150"
"codirectional",0.956337230653855,"U712_01155"
"codirectional",0.872608896665068,"U712_01160"
"codirectional",0.999164625880528,"U712_01165"
"codirectional",0.218479078995902,"U712_01170"
